well,date,find,chem,unit,wqo,abovemcl,area
03N23W05P02S,6/1/2009 0:00,3.1,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,6/1/2009 0:00,249,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,6/1/2009 0:00,737,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,0.43,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,40,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,0.60993,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,2.7,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,251,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,7/6/2009 0:00,725,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,0.36,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,39,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,0.60993,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,2.7,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,241,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,8/3/2009 0:00,644,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,0.46,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,43,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,0.72288,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,3.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,253,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,11/2/2009 0:00,701,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,0.38,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,43,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,1.19727,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,5.3,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,263,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,4/5/2010 0:00,692,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,0.35,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,36,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,0.9036,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,250,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,5/17/2010 0:00,747,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,0.31,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,37,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,0.56475,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,2.5,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,250,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,8/2/2010 0:00,657,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,0.2,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,36,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,0.49698,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,2.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,246,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,9/7/2010 0:00,659,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,10/4/2010 0:00,35,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,10/4/2010 0:00,0.40662,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,10/4/2010 0:00,1.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,10/4/2010 0:00,245,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,10/4/2010 0:00,669,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,0.44,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,39,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,0.49698,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,2.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,249,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,12/6/2010 0:00,698,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,0.36,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,35,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,1.31022,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,5.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,253,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,1/3/2011 0:00,709,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,0.46,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,36,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,1.40058,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,6.2,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,236,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,3/7/2011 0:00,667,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,0.22,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,31,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,1.60389,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,7.1,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,239,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,4/4/2011 0:00,691,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,0.31,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,34,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,1.49094,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,6.6,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,230,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,5/2/2011 0:00,656,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,0.33,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,35,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,1.31022,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,5.8,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,234,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,6/6/2011 0:00,658,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,0.35,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,34,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,1.10691,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,4.9,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,234,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,7/11/2011 0:00,704,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,0.31,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,46,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,0.99396,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,4.4,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,245,SULFATE,mgl,300,0,Casitas Springs
03N23W05P02S,8/8/2011 0:00,763,TOTAL DISSOLVED SOLIDS,MG/L,800,0,Casitas Springs
03N23W05P02S,9/12/2011 0:00,0.31,BORON,MG/L,0.5,0,Casitas Springs
03N23W05P02S,9/12/2011 0:00,33,CHLORIDE,mgl,100,0,Casitas Springs
03N23W05P02S,9/12/2011 0:00,0.60993,NITRATE (AS N),MG/L,10,0,Casitas Springs
03N23W05P02S,9/12/2011 0:00,2.7,NITRATE (AS NO3),MG/L,45,0,Casitas Springs
03N23W05P02S,9/12/2011 0:00,238,SULFATE,mgl,300,0,Casitas Springs
