well,date,wl,rp,td,from,to
04N23W03M01S,8/2/2002,662.4000244,763.366,172,100,160
04N23W03M01S,10/11/2002,661.5999756,763.366,172,100,160
04N23W03M01S,12/3/2002,663.2999878,763.366,172,100,160
04N23W03M01S,1/30/2003,666.5,763.366,172,100,160
04N23W03M01S,3/31/2003,671.7999878,763.366,172,100,160
04N23W03M01S,6/4/2003,671.0999756,763.366,172,100,160
04N23W03M01S,8/4/2003,665.7999878,763.366,172,100,160
04N23W03M01S,10/6/2003,662.7999878,763.366,172,100,160
04N23W03M01S,12/2/2003,663,763.366,172,100,160
04N23W03M01S,2/2/2004,663,763.366,172,100,160
04N23W03M01S,4/6/2004,669.5999756,763.366,172,100,160
04N23W03M01S,5/28/2004,666.5,763.366,172,100,160
04N23W03M01S,7/29/2004,663.2999878,763.366,172,100,160
04N23W03M01S,10/5/2004,661.7000122,763.366,172,100,160
04N23W03M01S,12/9/2004,664.9000244,763.366,172,100,160
04N23W03M01S,2/3/2005,686.5,763.366,172,100,160
04N23W03M01S,4/1/2005,692.5,763.366,172,100,160
04N23W03M01S,6/7/2005,682.7999878,763.366,172,100,160
04N23W03M01S,8/2/2005,678,763.366,172,100,160
04N23W03M01S,9/30/2005,672,763.366,172,100,160
04N23W03M01S,12/6/2005,669.2999878,763.366,172,100,160
04N23W03M01S,2/6/2006,671.7999878,763.366,172,100,160
04N23W03M01S,4/7/2006,674.4000244,763.366,172,100,160
04N23W03M01S,6/6/2006,678.2999878,763.366,172,100,160
04N23W03M01S,7/27/2006,671.2000122,763.366,172,100,160
04N23W03M01S,9/28/2006,668.4000244,763.366,172,100,160
04N23W03M01S,12/1/2006,665.7999878,763.366,172,100,160
04N23W03M01S,2/1/2007,666.4000244,763.366,172,100,160
04N23W03M01S,3/30/2007,668.2999878,763.366,172,100,160
04N23W03M01S,6/5/2007,664.7999878,763.366,172,100,160
04N23W03M01S,8/7/2007,663,763.366,172,100,160
04N23W03M01S,9/28/2007,661.5999756,763.366,172,100,160
04N23W03M01S,12/3/2007,661.2000122,763.366,172,100,160
